Date,NFCI,ANFCI,Risk (NFCI),Credit (NFCI),Leverage (NFCI),Nonfinancial_Leverage (NFCI)
6/4/2000,0.03252066,0.355389215,0.093169407,0.186217412,0.4584559,0.755504032
6/5/2000,0.03252066,0.355389215,0.093169407,0.186217412,0.4584559,0.755504032
6/6/2000,0.03252066,0.355389215,0.093169407,0.186217412,0.4584559,0.755504032
6/7/2000,0.03252066,0.355389215,0.093169407,0.186217412,0.4584559,0.755504032
6/8/2000,0.03252066,0.355389215,0.093169407,0.186217412,0.4584559,0.755504032
6/9/2000,0.033731438,0.353762666,0.088751982,0.196542216,0.408136577,0.761342248
6/10/2000,0.033731438,0.353762666,0.088751982,0.196542216,0.408136577,0.761342248
6/11/2000,0.033731438,0.353762666,0.088751982,0.196542216,0.408136577,0.761342248
6/12/2000,0.033731438,0.353762666,0.088751982,0.196542216,0.408136577,0.761342248
6/13/2000,0.033731438,0.353762666,0.088751982,0.196542216,0.408136577,0.761342248
6/14/2000,0.033731438,0.353762666,0.088751982,0.196542216,0.408136577,0.761342248
6/15/2000,0.033731438,0.353762666,0.088751982,0.196542216,0.408136577,0.761342248
6/16/2000,0.029051306,0.343529366,0.075765162,0.205942413,0.357563193,0.766333952
6/17/2000,0.029051306,0.343529366,0.075765162,0.205942413,0.357563193,0.766333952
6/18/2000,0.029051306,0.343529366,0.075765162,0.205942413,0.357563193,0.766333952
6/19/2000,0.029051306,0.343529366,0.075765162,0.205942413,0.357563193,0.766333952
6/20/2000,0.029051306,0.343529366,0.075765162,0.205942413,0.357563193,0.766333952
6/21/2000,0.029051306,0.343529366,0.075765162,0.205942413,0.357563193,0.766333952
6/22/2000,0.029051306,0.343529366,0.075765162,0.205942413,0.357563193,0.766333952
6/23/2000,0.01723508,0.324313357,0.053855784,0.213918947,0.304364427,0.77051521
6/24/2000,0.01723508,0.324313357,0.053855784,0.213918947,0.304364427,0.77051521
6/25/2000,0.01723508,0.324313357,0.053855784,0.213918947,0.304364427,0.77051521
6/26/2000,0.01723508,0.324313357,0.053855784,0.213918947,0.304364427,0.77051521
6/27/2000,0.01723508,0.324313357,0.053855784,0.213918947,0.304364427,0.77051521
6/28/2000,0.01723508,0.324313357,0.053855784,0.213918947,0.304364427,0.77051521
6/29/2000,0.01723508,0.324313357,0.053855784,0.213918947,0.304364427,0.77051521
6/30/2000,-0.000817947,0.295741975,0.025043539,0.220263568,0.245968368,0.773933554
7/1/2000,-0.000817947,0.295741975,0.025043539,0.220263568,0.245968368,0.773933554
7/2/2000,-0.000817947,0.295741975,0.025043539,0.220263568,0.245968368,0.773933554
7/3/2000,-0.000817947,0.295741975,0.025043539,0.220263568,0.245968368,0.773933554
7/4/2000,-0.000817947,0.295741975,0.025043539,0.220263568,0.245968368,0.773933554
7/5/2000,-0.000817947,0.295741975,0.025043539,0.220263568,0.245968368,0.773933554
